Route Safety,Time Efficiency,Bicycle Facilities
Well-maintained bike lanes,20 minutes,"Basic parking, no showers"
No dedicated bike lanes,20 minutes,No parking or showers
No dedicated bike lanes,20 minutes,Secure parking and showers
No dedicated bike lanes,15 minutes,No parking or showers
No dedicated bike lanes,15 minutes,"Basic parking, no showers"
Well-maintained bike lanes,15 minutes,"Basic parking, no showers"
Mixed safety,30 minutes,No parking or showers
Well-maintained bike lanes,30 minutes,Secure parking and showers
Mixed safety,20 minutes,No parking or showers
Mixed safety,30 minutes,"Basic parking, no showers"
Mixed safety,30 minutes,Secure parking and showers
Well-maintained bike lanes,15 minutes,Secure parking and showers
